ICAO,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Агломерация,ППмакс,Обслуживание,Взлётпос,Пользование,Безопасность,Дата
UHML,ОЧП,АН,False,Залив Лаврентия,7344,77.0,125.0,0,2,3285,5256.0,,,,,
UHBE,ОЧП,АН,True,Зея,2136,16.19,13.42,65833,1,46110,73776.0,518.5,2113.3,275.3,942.4,11 января 2019
UESU,ОЧП,АН,False,Зырянка,8073,153.23,36.0,0,2,3950,6320.0,505.2,2928.0,240.0,1344.0,7 октября 2019
UUBI,ОЧП,УА,True,Иваново (Южный),22953,582.6,75.75,62500,1,2740170,4384272.0,1000.0,1950.0,1000.0,1986.0,11 января 2019
UOII,ОЧП,АН,True,Игарка,278039,2373.14,39.57,0,1,7018,11229.0,,,,,
USII,ОЧП,УА,True,Ижевск,315557,912.73,336.11,64000,1,1694421,2711074.0,258.0,672.0,78.0,528.0,10 октября 2019
UIII,ОЧП,УА,True,Иркутск,1973584,9675.91,1800.19,75893,1,1261163,2017861.0,160.0,530.0,40.8,380.0,17 апреля 2017
UWKJ,ОЧП,УА,True,Йошкар-Ола,465,0.0,0.0,63958,1,1463447,2341515.0,130.0,320.0,38.5,165.0,7 декабря 2015
UWKD,ОЧП,УА,False,Казань,2623423,2360.13,607.5,61455,1,2260422,3616675.0,168.2,384.5,49.82,220.52,17 апреля 2017
UMKK,ОЧП,УА,True,Калининград (Храброво),1788097,6678.66,1284.65,66340,1,911453,1458325.0,319.2,621.6,163.2,718.8,10 октября 2019
UUBC,ОЧП,УА,True,Калуга (Грабцево),18145,2.81,0.0,58724,1,2164963,3463941.0,150.0,500.0,70.0,270.0,8 декабря 2015
UHPZ,ОЧП,АН,False,Каменское (ПП),0,0.0,0.0,0,4,1499,2398.0,,,,,
UNEE,ОЧП,УА,True,Кемерово,398026,3219.76,486.7,63500,1,1270611,2032978.0,169.49,618.0,56.5,489.6,10 октября 2019
UHMK,ОЧП,АН,False,Кепервеем,23349,1570.0,210.0,0,2,6743,10789.0,,,,,
UIKK,ОЧП,АН,True,Киренск,29012,518.31,89.91,0,1,19116,30586.0,268.15,1799.59,169.71,516.72,14 апреля 2017
USKK,ОЧП,УА,True,Киров (Победилово),166160,102.1,41.3,56200,1,817989,1308782.0,218.0,665.0,99.0,380.0,11 января 2019
USRK,ОЧП,АН,True,Когалым,127382,730.05,0.0,61880,1,113667,181867.0,252.22,1203.53,137.05,380.06,29 сентября 2017
UNKI,ОЧП,АН,True,Кодинск,3423,15.63,1.03,49661,1,42218,67549.0,365.0,938.0,57.0,562.0,14 января 2019
UHKK,ОЧП,АН,True,Комсомольск-на-Амуре (Хурба),15182,2032.66,113.57,51491,1,347132,555411.0,212.4,600.0,120.0,300.0,25 августа 2016
UUBA,ОЧП,УА,True,Кострома (Сокеркино),7357,0.0,0.0,54600,1,2040196,3264314.0,,,,,
URKK,ОЧП,УА,False,Краснодар (Пашковский),3494987,5979.14,2132.94,62017,1,3253982,5206371.0,152.93,420.0,50.39,220.0,14 января 2019
UNKL,ОЧП,УА,True,Красноярск,2258634,13852.29,1769.69,76285,1,1289035,2062456.0,276.0,420.0,82.8,411.0,14 января 2019
USUU,ОЧП,УА,True,Курган,63709,321.6,167.2,56950,1,717447,1147915.0,166.6,2034.3,78.6,1311.9,1 сентября 2016
UUOK,ОЧП,УА,True,Курск (Восточный),32871,89.5,0.0,58724,1,1141466,1826346.0,150.0,404.0,65.0,264.0,17 августа 2015
UNKY,ОЧП,УА,True,Кызыл,24786,13.33,0.58,76285,1,195562,312899.0,235.15,1319.4,134.8,469.9,15 января 2019
UERL,ОЧП,АН,False,Ленск,57341,775.73,155.47,0,2,27532,44051.0,505.2,2928.0,240.0,1344.0,7 октября 2019
UUOL,ОЧП,УА,True,Липецк,63821,0.0,0.0,56154,1,1359919,2175870.0,,,,,
UHMM,ОЧП,УА,True,Магадан (Сокол),376794,8309.0,1318.0,96958,1,113381,181410.0,400.0,1850.0,130.0,680.0,11 октября 2019
UEMM,ОЧП,АН,False,Маган,10672,295.96,18.87,0,2,432316,691706.0,505.2,2928.0,240.0,1344.0,7 октября 2019
URMS,ОЧП,УА,True,Магас (Слепцовская),231633,39.06,0.0,73293,1,2770557,4432891.0,210.0,480.0,92.0,460.0,11 октября 2019
USCM,ОЧП,УА,True,Магнитогорск,193175,374.1,39.7,64000,1,815653,1305045.0,397.0,1495.0,206.0,732.0,11 октября 2019
UHPN,ОЧП,АН,False,Манилы,1264,1.07,11.76,0,3,1499,2398.0,,,,,
UHMO,ОЧП,АН,False,Марково,3332,105.0,39.0,0,2,1028,1645.0,501.0,1290.0,226.0,1705.0,15 октября 2020
URML,ОЧП,УА,True,Махачкала (Уйташ),1067684,1487.1,556.4,65000,1,2238870,3582192.0,95.0,310.0,42.12,192.0,15 января 2019
UHPM,ОЧП,АН,False,Мильково,30,0.0,0.0,0,2,8477,13563.0,,,,,
URMM,ОЧП,УА,True,Минеральные Воды,2180178,2111.85,819.43,63500,1,2223945,3558312.0,177.0,422.4,77.15,313.2,11 октября 2019
UERR,ОЧП,АН,True,Мирный,329446,11075.36,788.54,68280,1,47325,75720.0,916.8,2935.0,319.2,963.0,11 октября 2019
UEMA,ОЧП,АН,False,Мома (Хонуу),10143,158.7,27.0,0,2,3119,4990.0,,,,,
UUWW,ОЧП,УА,True,Москва (Внуково),18138865,58493.98,10259.52,57500,1,18354893,29367829.0,74.0,210.0,68.0,200.0,16 января 2019
UUDD,ОЧП,УА,False,Москва (Домодедово),30657854,122862.35,25472.5,58870,1,18486157,29577851.0,219.0,288.0,83.0,225.0,11 октября 2019
UUEE,ОЧП,УА,False,Москва (Шереметьево),39641443,293972.5,35727.3,62080,1,18082280,28931648.0,77.0,178.3,112.9,54.6,30 ноября 2015
UNIM,ОЧП,АН,False,Мотыгино,3854,878.6,0.0,0,3,19752,31603.0,651.6,1680.0,179.0,517.0,11 октября 2019
ULMM,ОЧП,УА,True,Мурманск,845928,1827.67,537.62,0,1,519816,831706.0,169.2,702.0,112.8,426.0,11 октября 2019
USMM,ОЧП,АН,True,Надым,169313,373.04,82.95,67320,1,57857,92571.0,432.0,2646.0,112.0,735.0,16 января 2019
URMN,ОЧП,УА,True,Нальчик,236865,177.0,299.9,64000,1,2493223,3989157.0,188.16,402.0,108.48,323.0,16 января 2019
ULAM,ОЧП,АН,True,Нарьян-Мар,183127,1258.51,366.91,64800,1,36803,58885.0,277.2,938.0,117.6,452.0,17 января 2019
UELL,ОЧП,АН,True,Нерюнгри,115336,279.4,119.0,0,1,72767,116427.0,505.2,2928.0,240.0,1344.0,7 октября 2019
UIUN,ОЧП,АН,True,Нижнеангарск,16379,24.45,20.03,0,1,30830,49328.0,478.0,2851.0,344.0,1473.0,17 января 2019
USNN,ОЧП,УА,True,Нижневартовск,669872,3453.8,282.1,65000,1,448980,718368.0,227.0,1000.0,97.0,345.0,20 апреля 2017
