ICAO,ВК,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Учитывать
UERL,3,ОЧП,АН,False,Ленск,57341,775.73,155.47,0,2,True
UUOL,3,ОЧП,УА,True,Липецк,63821,0.0,0.0,56154,1,True
UHMM,3,ОЧП,УА,True,Магадан (Сокол),376794,8309.0,1318.0,96958,1,True
UEMM,3,ОЧП,АН,False,Маган,10672,295.96,18.87,0,2,True
URMS,1,ОЧП,УА,True,Магас (Слепцовская),231633,39.06,0.0,73293,1,True
USCM,1,ОЧП,УА,True,Магнитогорск,193175,374.1,39.7,64000,1,True
UHPN,3,ОЧП,АН,False,Манилы,1264,1.07,11.76,0,3,True
UHMO,3,ОЧП,АН,False,Марково,3332,105.0,39.0,0,2,True
URML,1,ОЧП,УА,True,Махачкала (Уйташ),1067684,1487.1,556.4,65000,1,True
UHPM,3,ОЧП,АН,False,Мильково,30,0.0,0.0,0,2,True
URMM,1,ОЧП,УА,True,Минеральные Воды,2180178,2111.85,819.43,63500,1,True
UERR,3,ОЧП,АН,True,Мирный,329446,11075.36,788.54,68280,1,True
UEMA,3,ОЧП,АН,False,Мома (Хонуу),10143,158.7,27.0,0,2,True
UUWW,3,ОЧП,УА,True,Москва (Внуково),18138865,58493.98,10259.52,57500,1,True
UUDD,3,ОЧП,УА,False,Москва (Домодедово),30657854,122862.35,25472.5,58870,1,True
UUEE,3,ОЧП,УА,False,Москва (Шереметьево),39641443,293972.5,35727.3,62080,1,True
UNIM,3,ОЧП,АН,False,Мотыгино,3854,878.6,0.0,0,3,True
ULMM,2,ОЧП,УА,True,Мурманск,845928,1827.67,537.62,0,1,True
USMM,2,ОЧП,АН,True,Надым,169313,373.04,82.95,67320,1,True
URMN,1,ОЧП,УА,True,Нальчик,236865,177.0,299.9,64000,1,True
ULAM,2,ОЧП,АН,True,Нарьян-Мар,183127,1258.51,366.91,64800,1,True
UELL,3,ОЧП,АН,True,Нерюнгри,115336,279.4,119.0,0,1,True
UIUN,3,ОЧП,АН,True,Нижнеангарск,16379,24.45,20.03,0,1,True
USNN,3,ОЧП,УА,True,Нижневартовск,669872,3453.8,282.1,65000,1,True
UWKE,3,ОЧП,УА,True,Нижнекамск (Бегишево),587361,637.0,16.0,0,1,True
UWGG,3,ОЧП,УА,True,Нижний Новгород (Стригино),961491,948.38,311.97,62780,1,True
UHNN,3,ОЧП,АН,True,Николаевск-на-Амуре,35415,46.62,135.34,86572,1,True
UHPX,3,ОЧП,АН,False,Никольское,1863,4.54,10.84,0,3,True
UNWW,1,ОЧП,УА,True,Новокузнецк (Спиченково),234409,1621.3,95.5,64000,1,True
UNNT,1,ОЧП,УА,False,Новосибирск (Толмачево),4809605,22012.5,7610.5,64100,1,True
USMU,2,ОЧП,УА,True,Новый Уренгой,937628,4167.8,210.8,0,1,True
UHSN,3,ОЧП,АН,True,Ноглики,40938,0.0,0.0,92548,1,True
UOOO,2,ОЧП,УА,True,Норильск (Алыкель),461723,9999.63,1440.2,60971,1,True
USRO,3,ОЧП,АН,True,Ноябрьск,209479,624.82,147.04,66066,1,True
UENN,3,ОЧП,АН,False,Нюрба,20460,30.39,73.6,0,2,True
UHQO,3,ОЧП,АН,False,Озерная,13,0.04,0.48,0,3,True
UEMO,3,ОЧП,АН,False,Олекминск,33653,70.1,96.73,0,2,True
UERO,3,ОЧП,АН,False,Оленек,10388,214.51,19.53,0,2,True
UHMN,3,ОЧП,АН,False,Омолон,1792,154.0,10.0,0,2,True
UNOO,1,ОЧП,УА,True,Омск (Центральный),948248,3267.0,664.0,59907,1,True
UHMF,3,ОЧП,АН,False,Омсукчан,7015,219.37,0.0,73600,2,True
UWOO,1,ОЧП,УА,True,Оренбург (Центральный),744303,1218.06,598.41,65748,1,True
UWOR,1,ОЧП,УА,True,Орск,26310,79.0,0.0,63882,1,True
UHPD,3,ОЧП,АН,True,Оссора,8124,37.11,63.83,0,1,True
UHSH,3,ОЧП,АН,False,Оха,44347,86.53,28.04,96151,2,True
UHOO,3,ОЧП,АН,True,Охотск,27777,1046.58,84.8,0,1,True
UHPL,3,ОЧП,АН,True,Палана,9570,20.09,81.41,0,1,True
ZD5W,3,ОЧП,АН,False,Парамушир,0,0.0,0.0,0,3,True
UHPA,3,ОЧП,АН,False,Пахачи,1429,4.98,5.94,0,3,True
UHMP,2,ОЧП,АН,True,Певек,24226,959.0,113.0,0,1,True
UWPP,3,ОЧП,УА,True,Пенза,152881,22.78,0.0,61136,1,True
USPP,3,ОЧП,УА,True,Пермь (Большое Савино),1338373,2063.11,866.5,61570,1,True
ULPB,2,ОЧП,УА,True,Петрозаводск,30301,44.16,0.83,65050,1,True
UHPP,3,ОЧП,УА,True,Петропавловск-Камчатский (Елизово),658689,10020.97,1635.3,67717,1,True
UNIP,3,ОЧП,АН,True,Подкаменная Тунгуска,10560,16.9,18.65,63202,1,True
UERP,2,ОЧП,АН,True,Полярный,58237,502.76,21.33,0,1,True
UHMD,2,ОЧП,АН,False,Провидения (Провидения Бухта),6200,32.0,87.0,0,2,True
ULOO,2,ОЧП,УА,True,Псков (Кресты),4142,33.57,0.0,0,1,True
URRP,1,ОЧП,УА,False,Ростов-на-Дону (Платов),187252,329.11,62.17,61680,1,True
USDA,2,ОЧП,АН,True,Сабетта,369819,5778.85,0.0,69228,1,True
UEBS,3,ОЧП,АН,False,Саккырыр,6251,225.21,15.48,0,2,True
USDD,2,ОЧП,УА,True,Салехард,298104,959.7,411.7,73878,1,True
