регион,район,город,тип,население,широта,долгота,расстояние
Алтайский край,Смоленский,Красный Маяк,п,87,52.3813888888889,85.1455555555556,65
Алтайский край,Алтайский,Россоши,с,995,52.0861111111111,85.2402777777778,42
Республика Алтай,Чойский район,Никольское,с,0,51.7811111111111,86.6013888888889,56
Алтайский край,Бийский,Предгорный,п,87,52.4922222222222,85.6669444444444,59
Республика Алтай,Шебалинский район,Черга,с,1950,51.5688888888889,85.5669444444444,48
Республика Алтай,Майминский район,Барангол,п,118,51.6772222222222,85.7813888888889,32
Республика Алтай,Турочакский район,Шунарак,с,27,52.4563888888889,86.8119444444444,85
Алтайский край,Красногорский,Балыкса,с,93,52.5433333333333,86.56,80
Республика Алтай,Шебалинский район,Кумалыр,с,159,51.2041666666667,85.62,86
Алтайский край,Зональный,Новая Чемровка,с,1957,52.6008333333333,85.0397222222222,88
Алтайский край,Алтайский,Верх-Ая,с,293,51.9588888888889,85.6702777777778,11
Алтайский край,Советский,Лебединый,п,76,52.3027777777778,85.6752777777778,38
Республика Алтай,Майминский район,Усть-Муны,с,475,51.7222222222222,85.7625,27
Республика Алтай,Майминский район,Александровка,с,328,51.7336111111111,86.1166666666667,32
Алтайский край,Бийский,Амурский,п,275,52.4788888888889,85.3044444444444,67
Алтайский край,Алтайский,Куяган,с,699,51.7008333333333,84.9069444444444,70
Алтайский край,Советский,Платово,с,452,52.0769444444444,85.9036111111111,12
Республика Алтай,Майминский район,Карым,п,81,51.7422222222222,85.8330555555556,25
Республика Алтай,Чемальский район,Верх-Анос,п,35,51.4475,85.8202777777778,58
Алтайский край,Советский,Колово,с,380,52.0872222222222,85.6241666666667,19
Алтайский край,Бийский,Светлоозерское,с,1143,52.5280555555556,85.5286111111111,65
Алтайский край,Советский,Семилетка,п,389,52.3008333333333,85.6188888888889,39
Республика Алтай,Чемальский район,Чемал,с,4389,51.4069444444444,86.0030555555556,63
Республика Алтай,Майминский район,Урлу-Аспак,с,430,51.6855555555556,86.2108333333333,40
Республика Алтай,Чойский район,Каратарбок,с,0,51.8036111111111,86.3425,39
Алтайский край,Алтайский,Сараса,с,1036,51.8713888888889,85.3555555555556,34
Алтайский край,Бийск,Жаворонково,с,95,52.5083333333333,84.8872222222222,88
Алтайский край,Зональный,Мирный,п,1430,52.5716666666667,85.0216666666667,87
Алтайский край,Красногорский,Верх-Кажа,с,45,52.3986111111111,86.1622222222222,52
Алтайский край,Советский,Шульгинка,с,1565,52.4369444444444,85.3166666666667,63
Республика Алтай,Шебалинский район,Могута,с,31,51.5397222222222,85.4191666666667,55
Алтайский край,Смоленский,Новотырышкино,с,1998,52.0836111111111,84.9102777777778,64
Алтайский край,Бийский,Первомайское,с,5629,52.5905555555556,85.2541666666667,79
Республика Алтай,Майминский район,Соузга,с,1275,51.8869444444444,85.8513888888889,9
Алтайский край,Смоленский,Линевский,п,1153,52.3655555555556,84.9736111111111,73
Алтайский край,Алтайский,Черемшанка,п,4,51.7561111111111,85.4444444444444,35
Алтайский край,Красногорский,Быстрянка,с,1788,52.2869444444444,85.8288888888889,35
Республика Алтай,Чойский район,Ишинск,с,2,52.0311111111111,86.6716666666667,57
Республика Алтай,Турочакский район,Каначак,с,111,52.4572222222222,86.7261111111111,81
Республика Алтай,Чемальский район,Анос,с,357,51.4997222222222,85.9455555555556,52
Республика Алтай,Шебалинский район,Улусчерга,с,320,51.51,85.4441666666667,57
Республика Алтай,Шебалинский район,Кукуя,с,36,51.4577777777778,85.2980555555555,67
Республика Алтай,Майминский район,Верх-Карагуж,с,479,52.0555555555556,86.0519444444444,17
Республика Алтай,Шебалинский район,Мыюта,с,276,51.4180555555556,85.6197222222222,63
Алтайский край,Смоленский,Иконниково,с,63,52.4316666666667,85.0913888888889,72
Алтайский край,Красногорский,Новозыково,с,736,52.16,86.1922222222222,32
Алтайский край,Красногорский,Долина Свободы,п,149,52.1133333333333,85.9219444444444,17
Республика Алтай,Майминский район,Известковый,п,48,51.7555555555556,85.7277777777778,24
Алтайский край,Бийский,Шебалино,с,1019,52.7161111111111,85.7925,83
Алтайский край,Бийский,Сростки,с,3457,52.4205555555556,85.7016666666667,51
Алтайский край,Красногорский,Мануильское,с,188,52.3091666666667,86.1194444444444,42
Алтайский край,Алтайский,Булухта,п,11,51.5925,85.4008333333333,51
Алтайский край,Красногорский,Талый,п,277,52.3202777777778,86.0461111111111,41
Алтайский край,Советский,Урожайное,с,1213,52.3055555555556,85.6475,39
Алтайский край,Зональный,Шубенка,с,1106,52.65,85.0919444444445,91
Республика Алтай,Майминский район,т/б Юность,п,64,51.8761111111111,85.8022222222222,10
Республика Алтай,Майминский район,Карасук,с,332,51.8502777777778,86.1416666666667,24
Республика Алтай,Чемальский район,Уожан,с,81,51.3213888888889,86.1486111111111,75
Республика Алтай,Чемальский район,Аюла,с,271,51.4352777777778,85.9752777777778,60
Алтайский край,Смоленский,Песчаное,с,132,52.3916666666667,84.88,80
Алтайский край,Целинный,Ложкино,с,559,52.835,85.4447222222222,99
Алтайский край,Солтонский,Старая Ажинка,с,14,52.6394444444444,86.3908333333333,83
Алтайский край,Красногорский,Мост Иша,п,136,52.2061111111111,85.8847222222222,26
Алтайский край,Красногорский,Пильно,с,28,52.4852777777778,86.2322222222222,63
Алтайский край,Красногорский,Луговое,с,63,52.3422222222222,86.1294444444444,46
Алтайский край,Красногорский,Им Фрунзе,п,227,52.585,86.3408333333333,76
Республика Алтай,Чойский район,Туньжа,с,249,52.0083333333333,86.4694444444444,43
Республика Алтай,Шебалинский район,Камлак,с,583,51.6252777777778,85.6705555555556,39
Алтайский край,Красногорский,Кажа,с,94,52.4572222222222,86.3969444444444,66
Алтайский край,Алтайский,Куяча,с,495,51.6719444444444,85.0880555555556,61
Алтайский край,Солтонский,Карабинка,с,974,52.6869444444444,86.2488888888889,84
Алтайский край,Красногорский,Макарьевское,с,124,52.5511111111111,86.4563888888889,77
Республика Алтай,Чемальский район,Элекмонар,с,1947,51.4583333333333,85.9986111111111,57
Республика Алтай,Чойский район,Сёйка,с,1379,51.8827777777778,86.7338888888889,62
Алтайский край,Советский,Шульгин Лог,с,744,52.1647222222222,85.8563888888889,21
Алтайский край,Советский,Сосновка,с,244,52.4394444444444,85.3577777777778,61
Республика Алтай,Чойский район,Паспаул,с,1189,51.94,86.3397222222222,34
Алтайский край,Алтайский,Пролетарка,с,171,51.7975,85.3616666666667,37
Республика Алтай,Чойский район,Салганда,с,18,51.8538888888889,86.32,35
Республика Алтай,Майминский район,Кызыл-Озек,с,5118,51.8925,85.9961111111111,13
Республика Алтай,Майминский район,Улалушка,п,9,51.9430555555556,86.0847222222222,17
Алтайский край,Солтонский,Ненинка,с,857,52.6713888888889,86.1963888888889,81
Алтайский край,Зональный,Зональное,с,4111,52.6658333333333,84.9361111111111,98
Алтайский край,Бийский,Малоугренево,с,1748,52.5566666666667,85.3422222222222,73
